City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,Bria,6.5423,21.9863,66.13,43,91,4.05,CF,2021-11-28 03:37:22
199,Tukrah,32.5341,20.5791,67.53,68,68,5.61,LY,2021-11-28 03:37:23
200,Gornopravdinsk,60.05,69.9,21.88,95,87,8.34,RU,2021-11-28 03:37:23
201,Buta,2.7858,24.73,68.72,94,89,1.97,CD,2021-11-28 03:37:24
202,Mimoso Do Sul,-21.0642,-41.3664,68.22,89,5,4.7,BR,2021-11-28 03:37:24
203,Dalby,-27.1833,151.2667,75.9,62,95,15.84,AU,2021-11-28 03:37:25
204,Haines Junction,60.7522,-137.5108,-5.85,71,100,11.5,CA,2021-11-28 03:37:25
205,Kismayo,-0.3582,42.5454,79.77,77,71,3.69,SO,2021-11-28 03:37:25
206,Geraldton,-28.7667,114.6,90.01,29,0,16.11,AU,2021-11-28 03:37:26
207,Bambous Virieux,-20.3428,57.7575,75.45,83,20,4.61,MU,2021-11-28 03:37:26
208,Sioux Lookout,50.1001,-91.917,28.78,80,90,17.27,CA,2021-11-28 03:37:27
209,Sangar,63.9242,127.4739,-5.71,98,100,4.12,RU,2021-11-28 03:37:27
210,Denpasar,-8.65,115.2167,80.26,89,75,2.3,ID,2021-11-28 03:37:28
211,Richards Bay,-28.783,32.0377,67.41,75,58,18.75,ZA,2021-11-28 03:37:28
212,Fort Myers Beach,26.452,-81.9481,60.85,77,1,0.0,US,2021-11-28 03:37:18
213,Thinadhoo,0.5333,72.9333,81.99,71,73,16.93,MV,2021-11-28 03:37:29
214,Hanmer Springs,-42.5167,172.8167,58.55,86,100,1.23,NZ,2021-11-28 03:37:29
215,Mindelo,16.8901,-24.9804,74.75,69,40,24.16,CV,2021-11-28 03:37:30
216,Severo-Kurilsk,50.6789,156.125,30.09,68,88,28.34,RU,2021-11-28 03:37:30
217,Grand-Santi,4.25,-54.3833,72.09,99,15,2.46,GF,2021-11-28 03:37:31
218,Hualmay,-11.0964,-77.6139,65.32,88,100,8.66,PE,2021-11-28 03:37:31
219,Yoichi,43.2039,140.7703,39.24,68,17,5.57,JP,2021-11-28 03:37:32
220,Urucara,-2.5364,-57.76,75.04,92,96,2.17,BR,2021-11-28 03:37:32
221,Katsuura,35.1333,140.3,57.31,40,0,11.54,JP,2021-11-28 03:37:33
222,Kidal,18.4411,1.4078,73.85,23,31,3.98,ML,2021-11-28 03:37:33
223,Horbranz,47.55,9.75,34.38,100,40,6.91,AT,2021-11-28 03:37:34
224,Estreito,-5.7833,-43.25,71.35,96,74,4.09,BR,2021-11-28 03:38:34
