City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
550,Deputatskiy,69.3,139.9,-34.85,100,99,1.99,RU,2021-12-02 18:42:03,overcast clouds
551,Emerald,-23.5333,148.1667,75.34,67,88,4.61,AU,2021-12-02 18:42:03,overcast clouds
552,Vila Do Maio,15.1333,-23.2167,75.99,66,100,18.81,CV,2021-12-02 18:42:03,overcast clouds
553,Hare Bay,48.8499,-54.0148,40.35,75,75,7.74,CA,2021-12-02 18:42:04,broken clouds
554,Lebedinyy,58.5167,125.5167,-15.63,98,100,5.19,RU,2021-12-02 18:42:04,overcast clouds
555,Rio Gallegos,-51.6226,-69.2181,62.65,34,75,32.21,AR,2021-12-02 18:42:05,broken clouds
556,Manggar,-2.8833,108.2667,80.22,80,86,4.52,ID,2021-12-02 18:42:05,overcast clouds
557,Banting,2.8167,101.5,78.94,96,100,3.74,MY,2021-12-02 18:42:06,overcast clouds
558,Novoagansk,61.9449,76.6625,30.78,97,100,12.35,RU,2021-12-02 18:42:06,snow
559,Niono,14.2526,-5.993,85.37,14,100,5.79,ML,2021-12-02 18:42:07,overcast clouds
560,Bathsheba,13.2167,-59.5167,84.81,70,40,20.71,BB,2021-12-02 18:42:07,scattered clouds
561,Kashi,39.4547,75.9797,29.41,46,0,8.95,CN,2021-12-02 18:42:07,clear sky
562,Iskateley,67.6803,53.1512,4.3,91,100,15.79,RU,2021-12-02 18:42:08,overcast clouds
563,Pochutla,15.7432,-96.4661,90.82,44,97,8.84,MX,2021-12-02 18:42:08,overcast clouds
564,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,69,90,8.95,RU,2021-12-02 18:42:09,light shower snow
565,Banfora,10.6333,-4.7667,84.61,17,2,4.61,BF,2021-12-02 18:42:09,clear sky
566,Lasa,46.6166,10.7002,33.62,92,100,6.87,IT,2021-12-02 18:42:10,overcast clouds
567,Palic,46.1023,19.7635,44.89,71,100,15.46,RS,2021-12-02 18:42:10,overcast clouds
568,Sidi Ali,36.0998,0.4206,51.15,67,100,6.6,DZ,2021-12-02 18:42:10,overcast clouds
569,Bandipur,27.9333,84.4167,57.24,69,100,0.81,NP,2021-12-02 18:42:11,overcast clouds
